air_store_id,mean_visitors,median_visitors,min_visitors,max_visitors,std_visitors
air_00a91d42b08b08d9,26.08189655172414,26.0,1,99,12.435364311712368
air_0164b9927d20bcc3,9.248322147651006,8.0,1,27,6.348979530972588
air_0241aa3964b7f861,9.896464646464647,9.0,1,48,6.214877016513886
air_0328696196e46f18,7.939655172413793,6.0,1,41,6.7338067186056225
air_034a3d5b40d5b1b1,14.828685258964143,12.0,1,116,13.15410711012123
air_036d4f1ee7285390,22.455516014234874,21.0,4,188,14.5905661730666
air_0382c794b73b51ad,23.687919463087248,23.0,1,74,11.642251004483814
air_03963426c9312048,39.34032634032634,36.0,2,119,23.738957706212915
air_04341b588bde96cd,35.87076271186441,34.0,1,119,16.22042410752801
air_049f6d5b402a31b2,11.531007751937985,11.0,1,29,6.431395494581387
air_04cae7c1bc9b2a0b,22.11340206185567,20.0,2,66,12.715895256692233
air_0585011fa179bcce,4.7765567765567765,4.0,1,26,2.7529195487339138
air_05c325d315cc17f5,22.495726495726494,22.0,1,56,9.193260665032184
air_0647f17b4dc041c8,36.42857142857143,35.0,1,90,18.37472094020395
air_064e203265ee5753,21.68918918918919,21.0,1,122,10.460344001259184
air_066f0221b8a4d533,14.310469314079423,12.0,1,55,10.44885744377803
air_06f95ac5c33aca10,22.206982543640898,21.0,1,56,12.237015613383619
air_0728814bd98f7367,9.951276102088167,9.0,1,42,6.801842568103496
air_0768ab3910f7967f,19.89969604863222,13.0,1,99,19.02098407741265
air_07b314d83059c4d2,33.224489795918366,30.0,6,116,16.184641064728417
air_07bb665f9cdfbdfb,29.43421052631579,28.0,1,351,22.257746288059703
air_082908692355165e,40.67289719626168,45.0,1,244,23.76742331971911
air_083ddc520ea47e1e,10.24390243902439,9.0,1,55,7.80767749292787
air_0845d8395f30c6bb,21.96085409252669,20.0,1,63,13.0674854662547
air_084d98859256acf0,14.695833333333333,14.0,1,35,6.893328238089885
air_0867f7bebad6a649,23.113636363636363,18.0,1,83,17.081079694215255
air_08ba8cd01b3ba010,10.366013071895425,10.0,1,24,5.180267777284321
air_08cb3c4ee6cd6a22,15.145328719723183,14.0,1,40,8.856082379769429
air_08ef81d5b7a0d13f,14.070833333333333,13.0,1,38,8.175838429829897
air_08f994758a1e76d4,26.19031141868512,25.0,2,78,15.331129016369616
air_09040f6df960ddb8,12.634361233480176,11.0,1,47,8.48336529024267
air_0919d54f0c9a24b8,43.56837606837607,45.5,2,305,27.235218141641017
air_09661c0f3259cc04,32.74125874125874,33.0,2,71,12.770147912544191
air_09a845d5b5944b01,11.628992628992629,8.0,1,56,10.54931859763131
air_09fd1f5c58583141,6.8111587982832615,6.0,1,23,4.283937012120083
air_0a74a5408a0b8642,31.20532319391635,31.0,2,67,11.95106315298978
air_0b184ec04c741a6a,12.094488188976378,12.0,1,54,7.234529487700826
air_0b1e72d2d4422b20,24.468992248062015,23.0,2,64,13.63479354773786
air_0b9038300f8b2b50,15.263698630136986,13.0,1,58,9.4087579303554
air_0e1eae99b8723bc1,13.88283378746594,13.0,1,41,6.989445957244231
air_0e7c11b9abc50163,26.735159817351597,23.0,6,229,18.63860047968499
air_0ead98dd07e7a82a,19.514492753623188,15.0,1,68,16.568035140805147
air_0f0cdeee6c9bf3d7,26.827715355805243,27.0,1,75,13.598163700991906
air_0f2f96335f274801,8.64935064935065,8.0,1,27,5.028476807575929
air_0f60e1576a7d397d,9.174358974358974,8.0,1,65,7.008857354581056
air_1033310359ceeac1,17.626404494382022,15.0,2,81,11.840645181050274
air_10393f12e9069760,14.85121107266436,14.0,1,50,8.432040842187698
air_105a7954e32dba9b,47.260416666666664,47.0,28,68,7.918756039156585
air_10713fbf3071c361,10.966542750929367,10.0,1,28,5.1589289661185065
air_10bbe8acd943d8f6,31.945205479452056,28.0,1,94,18.543635108856527
air_12c4fb7a423df20d,17.76027397260274,16.5,2,45,9.197567880015827
air_138ee734ac79ff90,7.98992443324937,7.0,1,22,4.102216602628547
air_138ff410757b845f,41.16205533596838,43.0,2,87,20.294885168751236
air_1408dd53f31a8a65,33.516891891891895,29.0,2,101,21.783208860795018
air_142e78ba7001da9c,10.755813953488373,10.0,1,101,6.520428801864015
air_1509881b22965b34,10.756476683937823,9.0,1,60,10.11484943972255
air_152c1f08d7d20e07,13.102409638554217,11.0,1,58,9.522305245514607
air_15ae33469e9ea2dd,12.762931034482758,12.0,1,44,8.22306996708254
air_15e6e15c7ea2c162,22.060714285714287,21.0,1,59,11.301341287659334
air_16179d43b6ee5fd8,9.206896551724139,8.0,1,26,4.496303900813745
air_1653a6c513865af3,32.81367924528302,33.0,2,86,13.180532304168256
air_168441ada3e878e1,41.60409556313993,40.0,3,89,15.014841411782317
air_16c4cfddeb2cf69b,13.995670995670995,13.0,1,40,7.452165040237481
air_16cf0a73233896de,9.61951219512195,8.0,1,118,9.239894883773092
air_1707a3f18bb0da07,24.62857142857143,28.0,1,67,12.89096773637759
air_17a6ab40f97fd4d8,11.643478260869566,5.0,1,89,18.03757836877254
air_17bed6dbf7c8b0fc,20.003174603174603,19.0,1,51,8.751887298810054
air_1979eaff8189d086,9.317073170731707,9.0,1,34,5.667403498879713
air_1ab60ce33bfed8a8,10.467680608365018,10.0,1,30,6.145648024257299
air_1ae94f514a0bce13,18.308370044052865,15.0,1,97,14.165334431063656
air_1ba4e87ef7422183,39.67482517482517,38.0,1,124,15.657379711912622
air_1c0b150f9e696a5f,115.47058823529412,115.0,71,166,23.233039354485218
air_1c95a84924d72500,11.295652173913043,10.0,1,39,7.047889608936534
air_1d1e8860ae04f8e9,11.501176470588236,9.0,1,89,9.908097675944099
air_1d25ca6c76df48b4,39.63414634146341,38.0,8,91,15.194149748962394
air_1d3f797dd1f7cf1c,33.41114982578397,30.0,6,93,15.275040695647828
air_1dd8f6f47480d1a2,36.04119850187266,37.0,1,75,13.276207847077215
air_1dea9815ccd36620,13.260162601626016,10.0,2,261,19.492473648899583
air_1e23210b584540e7,16.2039911308204,7.0,1,85,18.768130956252204
air_1e665503b8474c55,8.382478632478632,7.0,1,34,5.609821672437064
air_1eeff462acb24fb7,15.930232558139535,16.0,1,38,6.4254916043955435
air_1f1390a8be2272b3,16.03058823529412,15.0,1,40,7.606570265879819
air_1f34e9beded2231a,7.337837837837838,7.0,1,31,4.75745609444074
air_1f7f8fa557bc0d55,4.695754716981132,4.0,1,22,3.2258384870328123
air_2009041dbf9264de,39.76039119804401,39.0,1,128,17.29037746226975
air_20619d21192aa571,17.058685446009388,17.0,1,43,5.218864619334425
air_20add8092c9bb51d,33.34931506849315,28.0,2,109,22.34148975511056
air_2195cd5025a98033,26.64426877470356,26.0,2,71,8.83400361107518
air_21f5052d5330528d,34.10069444444444,33.0,1,105,17.19473218305761
air_220cba70c890b119,10.933098591549296,8.0,1,36,7.672568012434932
air_22682e965418936f,9.117216117216117,7.0,1,54,7.83662430238927
air_228f10bec0bda9c8,16.93305439330544,17.0,1,40,8.15370433686403
air_229d7e508d9f1b5e,13.717703349282298,14.0,1,35,7.080697114205193
air_232dcee6f7c51d37,7.037894736842105,7.0,1,21,3.444348975106037
air_234d3dbf7f3d5a50,7.984126984126984,7.0,1,29,4.6507303651462015
air_23e1b11aee2a1407,40.11267605633803,38.0,1,99,18.6210483859018
air_23ee674e91469086,24.963203463203463,24.0,3,76,9.97658587080128
air_24b9b2a020826ede,27.609137055837564,27.0,2,62,14.165130026519027
air_24e8414b9b07decb,5.568376068376068,6.0,1,25,2.558672857867512
air_2545dd3a00f265e2,32.33870967741935,28.0,8,90,15.677357817116306
air_256be208a979e023,6.60431654676259,5.0,1,42,5.126724353795261
air_2570ccb93badde68,36.990196078431374,36.0,4,106,11.375861420449965
air_258ad2619d7bff9a,25.730337078651687,24.0,2,79,16.65196417207911
air_258dc112912fc458,63.55,60.0,7,109,16.522762288436134
air_25c583983246b7b0,21.054455445544555,18.0,1,96,15.72057007025591
air_25d8e5cc57dd87d9,23.726635514018692,24.0,1,57,10.351324611199152
air_25e9888d30b386df,6.74375,4.0,1,50,7.248172940251002
air_2634e41551e9807d,11.588621444201314,9.0,1,70,8.652991171233875
air_26c5bbeb7bb82bf1,27.53191489361702,25.5,1,127,12.185851579738044
air_26f10355d9b4d82a,28.418032786885245,28.0,6,74,11.562206180137377
air_2703dcb33192b181,47.25316455696203,45.0,21,72,10.916311430231579
air_275732a5db46f4d3,16.460916442048518,16.0,1,38,6.317325659026008
air_27e991812b0d9c92,29.953929539295395,27.0,1,182,14.758031785431431
air_28064154614b2e6c,21.12542372881356,19.0,2,65,10.795936392548446
air_287d2de7d3c93406,22.7468085106383,19.0,1,84,14.115943156584601
air_28a9fa1ec0839375,31.068870523415978,29.0,1,80,15.503098802422203
air_28dbe91c4c9656be,37.903614457831324,30.0,3,95,24.164888082601713
air_290e7a57b390f78e,10.811764705882354,11.0,1,35,5.8420591141938925
air_298513175efdf261,28.194570135746606,28.0,5,93,9.063303068595376
air_2a184c1745274b2b,5.448398576512456,4.0,1,23,3.714595622752146
air_2a24aec099333f39,5.873873873873874,5.0,1,24,3.792388464353724
air_2a3743e37aab04b4,13.910290237467018,13.0,1,64,8.244438540419615
air_2a485b92210c98b5,23.782178217821784,15.0,1,105,22.550655848731335
air_2a7f14da7fe0f699,21.715415019762847,21.0,3,52,9.234061747403084
air_2aab19554f91ff82,34.08205128205128,35.0,1,87,18.176892472200784
air_2ac361b97630e2df,11.173010380622838,10.0,1,41,6.929042512660239
air_2b8b29ddfd35018e,12.938297872340426,11.0,1,56,8.628708298736624
air_2b9bc9f5f5168ea1,19.660516605166052,18.0,1,58,11.684869534078112
air_2bffb19a24d11729,17.97132616487455,17.0,2,39,8.690474941554145
air_2c505f9ad67d4635,18.167857142857144,15.5,1,51,10.024184146011024
air_2c6c79d597e48096,16.941176470588236,17.0,1,40,8.656885864540456
air_2c6fef1ce0e13a5a,28.324137931034482,23.0,2,102,20.612719142091276
air_2c989829acbd1c6b,27.75925925925926,29.5,1,61,13.569850004995288
air_2cee51fa6fdf6c0d,19.203931203931205,15.0,1,62,14.21995351974224
air_2d3afcb91762fe01,39.975429975429975,40.0,6,82,11.20649819183195
air_2d78d9a1f4dd02ca,14.296,13.0,1,39,8.329098361651896
air_2e7cb1f1a2a9cd6a,27.927659574468084,28.0,1,73,13.129494787991222
air_2f8ced25216df926,16.320689655172412,13.0,2,135,15.396846828370219
air_2fc149abe33adcb4,34.407407407407405,34.0,3,79,15.042730688158771
air_2fc478dc9f0a6b31,11.736,11.0,1,35,7.071231381662747
air_2fed81034f8834e5,32.00787401574803,32.5,1,96,16.783436245930666
air_303bac187b53083a,8.936842105263159,9.0,1,19,3.7241114172313936
air_310e467e6e625004,14.672645739910314,15.0,2,35,5.450474456169656
air_3155ee23d92202da,17.63799283154122,16.0,1,57,12.42856382831423
air_31c753b48a657b6c,22.45945945945946,18.0,2,64,14.580674497294998
air_32460819c7600037,41.44390243902439,42.0,2,83,13.825423036639707
air_324f7c39a8410e7c,14.436823104693142,13.0,1,56,9.136672483659854
air_326ca454ef3558bc,29.299771167048053,25.0,1,109,19.173862296375216
air_32b02ba5dc2027f4,31.6443661971831,27.5,1,162,22.959103369079315
air_32c61b620a766138,26.10544217687075,22.0,3,81,14.951540755528239
air_32f5d7cd696e3c4a,18.97173144876325,19.0,1,52,10.16002698864004
air_33b01025210d6007,10.6484375,8.0,1,36,8.10818017709977
air_3440e0ea1b70a99b,30.209621993127147,27.0,2,89,16.398087888785753
air_346ade7d29230634,9.42039800995025,8.0,1,30,5.636971104477497
air_347be2c4feeb408b,24.114285714285714,24.0,3,49,7.883059238063589
air_349278fa964bb12f,17.648464163822524,17.0,6,42,4.713283403461789
air_3525f11ef0bf0c35,44.78304239401496,41.0,1,120,22.69086405848614
air_35512c42db0868da,9.80622009569378,9.0,1,43,5.213730219369103
air_3561fd1c0bce6a95,15.56,14.0,1,40,8.85536242109958
air_35c4732dcbfe31be,8.076062639821028,7.0,1,37,4.976945474501115
air_36429b5ca4407b3e,22.523076923076925,19.0,1,60,14.524491569788434
air_36bcf77d3382d36e,31.777310924369747,24.0,6,99,17.90538848374
air_37189c92b6c761ec,20.241469816272964,12.0,1,167,22.85502275654908
air_375a5241615b5e22,9.298850574712644,9.0,1,31,5.371108485782776
air_382f5ace4e2247b8,7.095238095238095,6.0,1,63,6.662792221154272
air_383f5b2f8d345a49,10.50319829424307,9.0,1,48,6.389301488405495
air_38746ffe9aa20c7e,10.191729323308271,8.0,1,64,8.566988375639625
air_396166d47733d5c9,22.01115241635688,19.0,1,74,13.69128802183461
air_396942e6423a2145,16.590038314176244,14.0,1,91,13.987787819217505
air_397d3f32a7196aa2,29.13821138211382,28.0,1,87,14.935412077697931
air_3980af67be35afdb,14.141666666666667,14.0,1,39,8.009717772840554
air_3982a2c4ea2ed431,32.30843373493976,32.0,1,83,16.36557897164412
air_399904bdb7685ca0,40.9562363238512,36.0,1,141,25.110856179835423
air_39dccf7df20b1c6a,24.64543524416136,24.0,1,59,9.87084549675446
air_3a8a3f8fb5cd7f88,27.94736842105263,29.0,1,59,14.707016761671651
air_3aa839e8e0cb6c87,27.773519163763066,26.0,1,126,13.205513621958684
air_3ac24136722e2291,15.657894736842104,15.0,1,41,8.751898644909263
air_3b20733899b5287f,44.64255319148936,44.0,4,101,16.95191470768934
air_3b6438b125086430,13.087336244541484,12.0,1,38,7.531481201028162
air_3bb99a1fe0583897,34.920529801324506,37.0,2,73,14.397573777971797
air_3bd49f98ab7f36ab,10.826241134751774,9.0,1,34,6.8995037769895715
air_3c05c8f26c611eb9,25.95550847457627,25.0,2,65,13.852886879641384
air_3c938075889fc059,29.704980842911876,26.0,1,108,19.427011679311185
air_3cad29d1a23209d2,9.619834710743802,10.0,1,22,3.7429628963325605
air_3caef3f76b8f26c5,20.729113924050633,21.0,1,59,9.129638128649175
air_3d3a2b509180e798,16.16872427983539,16.0,1,81,8.44576335293305
air_3e6cea17a9d2c0f1,18.342612419700213,17.0,1,61,10.452547794312046
air_3e93f3c81008696d,28.013157894736842,23.0,2,96,20.587297795300977
air_3f91d592acd6cc0b,22.408088235294116,22.0,1,57,10.75930940010062
air_401b39f97e56b939,14.38993710691824,13.0,1,38,7.961192902138102
air_4043b7ccfbffa732,46.25449101796407,43.5,1,120,29.902914391067295
air_4092cfbd95a3ac1b,32.94117647058823,31.0,3,183,20.632532294628522
air_40953e2d8b4f2857,14.072289156626505,14.0,1,58,8.783851292511418
air_40f6193ea3ed1b91,14.987714987714988,15.0,1,35,6.439360678524274
air_414ff459ed18fa48,16.450511945392492,16.0,2,37,6.961865898723479
air_41bbf6e1d9814c4b,7.435768261964736,7.0,1,26,3.8203376849396355
air_421670f21da5ba31,17.225352112676056,17.0,1,51,9.345360845520043
air_4254c3fc3ad078bd,10.891472868217054,11.0,1,57,5.634441489282514
air_42c9aa6d617c5057,45.86065573770492,44.5,17,85,13.368358671131174
air_42d41eb58cad170e,22.87900355871886,20.0,1,91,14.769162627510212
air_43b65e4b05bff2d3,23.85810810810811,22.0,5,57,10.000006871275696
air_43d577e0c9460e64,32.344,31.0,1,514,27.917306460330302
air_4433ab8e9999915f,18.817073170731707,17.0,3,53,8.58160545673316
air_4481a87c1d7c9896,20.813793103448276,20.0,2,66,9.074841611205365
air_452100f5305dde64,6.572052401746725,6.0,1,15,3.0579642461244285
air_45326ebb8dc72cfb,18.93774319066148,17.0,2,59,9.504728241744544
air_4570f52104fe0982,10.308390022675736,8.0,1,311,16.20620384556175
air_4579cb0669fd411b,24.617241379310343,22.0,1,76,12.556379951434538
air_457efe8c3a30ea17,6.909326424870466,6.0,1,31,4.848838775129156
air_464a62de0d57be1e,23.852739726027398,22.0,5,94,10.220030835021703
air_465bddfed3353b23,31.38487972508591,30.0,1,110,15.55977278785336
air_47070be6093f123e,46.0722891566265,44.0,4,201,23.37343222232317
air_472b19e3b5bffa41,10.441441441441441,9.0,1,36,6.377540746019863
air_473cf23b9e7c0a37,9.698795180722891,9.0,1,25,4.484925305305565
air_473f98b212d37b4a,25.22,23.0,1,120,13.84053832960022
air_47beaffd3806c979,21.11731843575419,21.0,1,35,5.725233086295353
air_483eba479dc9910d,19.29639175257732,16.0,1,64,12.533048296739592
air_48e9fc98b62495a7,25.206818181818182,22.0,1,107,18.192101940030998
air_48f4da6223571da4,21.797909407665504,20.0,2,56,10.411175871472413
air_48ffd31594bc3263,4.941422594142259,3.0,1,73,6.877432317271253
air_49211568cab5fdee,18.61904761904762,17.0,1,50,9.625289026879505
air_4974785f48853db9,8.107476635514018,8.0,1,29,5.166035719789109
air_4b251b9f8373f1ae,21.86842105263158,23.0,1,43,8.875063474756928
air_4b380b4db9d37883,26.243150684931507,22.0,3,113,16.924507566310325
air_4b55d8aea1d2b395,32.35087719298246,33.0,1,114,24.111460373598632
air_4b9085d0d46a6211,28.616033755274263,27.0,1,60,10.572201130541288
air_4beac252540f865e,40.06273062730627,42.0,2,101,16.092088414904246
air_4c2ed28f3f19ca52,14.661417322834646,12.5,1,61,10.32952747729559
air_4c665a2bfff0da3b,6.731764705882353,6.0,1,27,4.475146560388715
air_4c727b55acdee495,16.57894736842105,16.0,2,39,6.721175724039461
air_4cab15ad29c0ffbc,21.83982683982684,20.0,1,51,10.6817649457413
air_4cab91146e3d1897,14.903225806451612,14.0,4,39,5.680276588932232
air_4cca5666eaf5c709,29.87526427061311,29.0,1,76,11.02266930204754
air_4ce7b17062a1bf73,7.563186813186813,6.0,1,27,4.920174553807601
air_4d21676ed11f0bac,35.65827338129496,35.0,1,99,18.543006502420788
air_4d71826793c09b22,22.238805970149254,22.0,6,49,5.305466808719649
air_4d90a22572fa1ec9,22.390438247011954,22.0,2,46,8.673577589851336
air_4de6d887a7b1c1fc,15.084,15.0,1,31,6.0344512931697905
air_4dea8d17f6f59c56,15.88929889298893,10.0,1,52,13.035660344521851
air_4e1c38f68f435596,35.81818181818182,36.0,17,74,8.256268836692177
air_4f762e840b3996e1,14.57649667405765,13.0,1,71,9.421973238097921
air_4feeb8600f131e43,53.14035087719298,57.5,2,85,17.793914315306893
air_500641aca4cf673c,16.603571428571428,17.0,1,51,6.8425708421357765
air_506fe758114df773,20.080357142857142,17.0,1,119,15.783001868168103
air_51281cd059d7b89b,12.522727272727273,10.0,1,262,20.046504375135775
air_51319e7acf0438cf,13.107329842931938,13.0,1,40,5.9689923786936046
air_52a08ef3efdb4bb0,28.930555555555557,21.0,1,121,30.28843798784198
air_52e2a1fd42bc917a,11.209016393442623,11.0,2,22,2.991304382572119
air_536043fcf1a4f8a4,31.07659574468085,31.0,2,78,10.76985868942456
air_539d693f7317c62d,16.872773536895675,16.0,2,222,13.985382189699024
air_546b353cbea4a45b,17.08108108108108,16.0,1,158,11.93768458249924
air_5485912b44f976de,11.365461847389557,10.0,1,37,7.096609530059212
air_54d6c25d33f5260e,35.22678185745141,34.0,2,239,18.963806259457773
air_54ed43163b7596c4,16.44126984126984,17.0,2,51,6.375126698394659
air_55390f784018349a,44.92011834319526,45.0,1,82,10.381283545745676
air_55c3627912b9c849,12.466522678185745,12.0,1,38,7.42687746483886
air_55e11c33d4758131,23.91864406779661,20.0,2,70,13.91128933436114
air_56cd12f31a0afc04,29.79725085910653,29.0,7,60,10.277702312771863
air_56cebcbd6906e04c,24.35272727272727,18.0,1,126,20.73475039448749
air_56ea46c14b2dd967,33.786476868327405,34.0,1,69,11.864892482220036
air_57013002b912772b,4.954545454545454,4.0,1,27,4.046993225250866
air_573ecdf81b157d22,33.053763440860216,34.0,4,54,9.862795229226156
air_57c9eea1a2b66e65,15.441767068273093,15.0,4,33,5.714796027774955
air_57ed725a1930a5b9,19.21728971962617,15.0,1,124,16.019513280743936
air_5878b6f2a9da12c1,12.655555555555555,11.0,1,69,8.511738377714433
air_59cc9b2b209c6331,14.867088607594937,12.0,1,105,15.242040600289997
air_5a9a6cbeeb434c08,20.39700374531835,18.0,1,66,13.038392931524497
air_5acc13d655a6e8b2,24.980842911877396,24.0,1,62,12.050040570400808
air_5afb1cca48ceaa19,40.7429718875502,39.0,2,95,17.426522032939594
air_5b6d18c470bbfaf9,22.316301703163017,19.0,1,124,16.52661421794412
air_5b704df317ed1962,3.669724770642202,2.0,1,44,5.939875475228995
air_5bd22f9cc1426a90,26.5,27.0,1,59,13.106260281918935
air_5c65468938c07fa5,18.83371298405467,16.0,1,86,13.429577954506069
air_5c7489c9ec755e2d,29.17766497461929,20.0,1,131,26.44562979654984
